Temporal,Approach,Model,Target,MAE,RMSE,MAPE (%),R2
dummy,MSTL_Feature,Uni-LSTM CI,CI,1.989457750786169,2.5131246636407902,0.34058679853081786,0.9226553382667941
dummy,MSTL_Feature,Uni-LSTM RE,RE,0.1773408794670149,0.22810272733909187,1.1268233687973819,0.9525052829137745
dummy,MSTL_Feature,Multi-LSTM,CI,2.14119931183079,2.718602607890186,0.3668736562911722,0.9094905891191327
dummy,MSTL_Feature,Multi-LSTM,RE,0.21551434430213365,0.27728818421045187,1.37990557299384,0.9298145519502072
dummy,MSTL_Feature,BiLSTM CI,CI,1.8051513606296172,2.2878109411080785,0.3087649957957906,0.9359022854092685
dummy,MSTL_Feature,BiLSTM RE,RE,0.23017770347775895,0.29065163815400924,1.4495311515297822,0.9228865916312291
dummy,MSTL_Feature,BiLSTM Multi,CI,2.6048848160755056,3.2776243817170063,0.44659038522174055,0.8684409759802674
dummy,MSTL_Feature,BiLSTM Multi,RE,0.21854563329467425,0.28242716631596004,1.3792928645791231,0.9271889512936393
cyclical,MSTL_Feature,Uni-LSTM CI,CI,2.9356755812190234,3.429149104412873,0.5023502807614224,0.8559958465854436
cyclical,MSTL_Feature,Uni-LSTM RE,RE,0.16282472414833732,0.21496160234274506,1.0313896568750553,0.9578200432160329
cyclical,MSTL_Feature,Multi-LSTM,CI,2.1356880790907558,2.673212523393213,0.3665222908016052,0.9124876686262527
cyclical,MSTL_Feature,Multi-LSTM,RE,0.20407339173901787,0.2619302535323905,1.2918792034866977,0.9373738555116466
cyclical,MSTL_Feature,BiLSTM CI,CI,4.0475645154906825,4.519931618871864,0.6930535364201015,0.7498122687984228
cyclical,MSTL_Feature,BiLSTM RE,RE,0.15942465062027025,0.21271045944793052,1.0078574957486475,0.9586988598991008
cyclical,MSTL_Feature,BiLSTM Multi,CI,2.4920101372878927,3.050956353403235,0.42704836593980267,0.8860080273609232
cyclical,MSTL_Feature,BiLSTM Multi,RE,0.2009182349760065,0.257928386845299,1.2687333319386995,0.9392728872917496
