Temporal,Decomposition,Model,Target,MAE,RMSE,MAPE (%),R2
dummy,MSTL,Uni-LSTM CI,CI,8.239685039955342,10.693979384446017,1.3996657543309552,-0.40707769914708325
dummy,MSTL,Uni-LSTM RE,RE,1.070856551934187,1.3438351452046466,7.022175336145112,-0.6562034980671194
dummy,MSTL,Multi-LSTM,CI,7.7024625099308075,10.074181676475538,1.311071002263585,-0.24870241616298516
dummy,MSTL,Multi-LSTM,RE,1.1281266454003687,1.456222104140728,7.300964775358963,-0.944808954983476
dummy,MSTL,BiLSTM CI,CI,15.828441888602779,18.073582631911254,2.721989513301413,-3.019091493436851
dummy,MSTL,BiLSTM RE,RE,2.3662992967489678,2.7425122287249395,14.88498015413939,-5.897931116501808
dummy,MSTL,BiLSTM Multi,CI,75.5693886809811,77.64107579803927,12.932478360588275,-73.16901024497002
dummy,MSTL,BiLSTM Multi,RE,6.851211934455866,7.042393458544992,43.27473774869456,-44.484379930867206
cyclical,MSTL,Uni-LSTM CI,CI,15.574276578668629,17.834835667013987,2.672785745417582,-2.9136106655523886
cyclical,MSTL,Uni-LSTM RE,RE,0.8200300896481889,1.039269701408291,5.372580866121525,0.009445808607781436
cyclical,MSTL,Multi-LSTM,CI,26.47649498244455,28.827506993225345,4.507834095451207,-9.224770460977005
cyclical,MSTL,Multi-LSTM,RE,4.577317510350235,4.880986316760944,29.449511546042935,-20.849267812755546
cyclical,MSTL,BiLSTM CI,CI,14.11764906026973,18.51351822641927,2.4193595565483563,-3.2171331242393117
cyclical,MSTL,BiLSTM RE,RE,0.7972023662616701,0.9851214770622175,5.085059550198542,0.10997689213054462
cyclical,MSTL,BiLSTM Multi,CI,26.893282696704865,34.33861407375117,4.585699482244391,-13.507912261157866
cyclical,MSTL,BiLSTM Multi,RE,4.301485435006662,5.93000547728942,27.668282937404282,-31.25016171132212
