number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_layer_type,params_learning_rate,params_look_back,params_n_layers,params_units_l1,params_units_l2,params_units_l3,user_attrs_n_epochs_trained,state
0,0.0013462395872920752,2026-08-25 11:08:22.110332,2026-08-25 11:08:54.409905,0 days 00:00:32.299573,128,0.2,,,lstm,0.005399484409787433,24,1,32,,,50.0,COMPLETE
1,0.001460251514799893,2026-08-25 11:08:54.413442,2026-08-25 11:24:46.219074,0 days 00:15:51.805632,128,0.05,0.1,0.4,bilstm,0.00025081156860452336,24,3,128,256.0,256.0,50.0,COMPLETE
2,0.0013409653911367059,2026-08-25 11:24:46.221917,2026-08-25 11:28:12.188058,0 days 00:03:25.966141,64,0.4,,,bilstm,0.0004473636174621265,12,1,256,,,50.0,COMPLETE
3,0.0020482433028519154,2026-08-25 11:28:12.193450,2026-08-25 11:38:21.538360,0 days 00:10:09.344910,32,0.25,,,bilstm,0.0005211124595788269,48,1,256,,,22.0,COMPLETE
4,0.0014998808037489653,2026-08-25 11:38:21.542892,2026-08-25 11:44:44.922496,0 days 00:06:23.379604,128,0.1,0.45,,lstm,0.0007162786999897341,48,2,96,128.0,,50.0,COMPLETE
5,0.005140743684023619,2026-08-25 11:44:44.925577,2026-08-25 11:45:31.530398,0 days 00:00:46.604821,128,0.5,,,bilstm,0.00016599837974449222,48,1,64,,,,PRUNED
6,0.0013968211133033037,2026-08-25 11:45:31.532063,2026-08-25 11:48:47.693018,0 days 00:03:16.160955,128,0.25,,,lstm,0.0009874088417386254,48,1,128,,,50.0,COMPLETE
7,0.003068800549954176,2026-08-25 11:48:47.695325,2026-08-25 11:50:06.606881,0 days 00:01:18.911556,128,0.25,0.05,,bilstm,0.0018391267498289018,12,2,192,256.0,,,PRUNED
8,0.0036617934238165617,2026-08-25 11:50:06.609034,2026-08-25 11:54:49.138585,0 days 00:04:42.529551,128,0.45,0.0,0.35000000000000003,bilstm,0.0012894414393074191,48,3,32,192.0,256.0,,PRUNED
9,0.003573188092559576,2026-08-25 11:54:49.140814,2026-08-25 11:57:31.841301,0 days 00:02:42.700487,16,0.25,0.35000000000000003,0.5,lstm,0.0020664542018650088,24,3,64,128.0,96.0,,PRUNED
10,0.003729279385879636,2026-08-25 11:57:31.842261,2026-08-25 11:59:10.109971,0 days 00:01:38.267710,64,0.4,0.25,,bilstm,0.007321173243252608,12,2,256,96.0,,,PRUNED
11,0.0017298083985224366,2026-08-25 11:59:10.110784,2026-08-25 12:00:04.056893,0 days 00:00:53.946109,64,0.35000000000000003,,,lstm,0.006474499730038168,72,1,32,,,25.0,COMPLETE
12,0.003148149698972702,2026-08-25 12:00:04.060197,2026-08-25 12:00:34.307120,0 days 00:00:30.246923,64,0.1,,,lstm,0.00010520137692051975,12,1,256,,,,PRUNED
13,0.0032412586733698845,2026-08-25 12:00:34.308459,2026-08-25 12:01:03.849266,0 days 00:00:29.540807,32,0.35000000000000003,0.5,,lstm,0.003498317056382218,24,2,32,32.0,,,PRUNED
14,0.002633770229294896,2026-08-25 12:01:03.850288,2026-08-25 12:10:23.580691,0 days 00:09:19.730403,16,0.15000000000000002,,,bilstm,0.0004169408564985973,72,1,192,,,,PRUNED
15,0.001642734743654728,2026-08-25 12:10:23.584853,2026-08-25 12:11:18.777395,0 days 00:00:55.192542,64,0.35000000000000003,,,lstm,0.00368492090984572,24,1,96,,,,PRUNED
16,0.0022263939026743174,2026-08-25 12:11:18.778856,2026-08-25 12:12:47.196493,0 days 00:01:28.417637,64,0.0,0.2,,bilstm,0.0003565381239616662,12,2,256,64.0,,,PRUNED
17,0.0023358091711997986,2026-08-25 12:12:47.199074,2026-08-25 12:13:02.274423,0 days 00:00:15.075349,32,0.2,,,lstm,0.003819881924230571,24,1,32,,,,PRUNED
18,0.0040865009650588036,2026-08-25 12:13:02.275319,2026-08-25 12:14:11.120373,0 days 00:01:08.845054,16,0.5,0.35000000000000003,,lstm,0.00011152977421811869,12,2,32,192.0,,,PRUNED
19,0.002791420789435506,2026-08-25 12:14:11.121203,2026-08-25 12:17:57.631915,0 days 00:03:46.510712,64,0.4,,,bilstm,0.0002326005362437407,72,1,256,,,,PRUNED
20,0.002903534099459648,2026-08-25 12:17:57.634382,2026-08-25 12:19:04.773608,0 days 00:01:07.139226,128,0.30000000000000004,,,bilstm,0.009232204784220417,24,1,192,,,,PRUNED
