Model,Target,MAE,RMSE,MAPE (%),R2
mstl_Uni-LSTM CI,CI,1.5228006099559626,2.0374053447595877,0.2604164954642013,0.9490067968919341
mstl_Uni-LSTM RE,RE,0.16229756315637417,0.2199432582065178,1.0302698478397452,0.9557388789730084
mstl_Multi-LSTM,CI,1.6333454239016634,2.158769387861797,0.2795430130377931,0.9427507353700975
mstl_Multi-LSTM,RE,0.18462259005240492,0.24279617965059583,1.1723942802395646,0.9460632469747373
mstl_BiLSTM CI,CI,1.5181316254285746,2.0276359658492815,0.2596051613861179,0.949494650283137
mstl_BiLSTM RE,RE,0.16725117073125123,0.22436178827373393,1.0633411990083368,0.9539426563523671
mstl_BiLSTM Multi,CI,1.5201629021238565,2.027803985428669,0.2600041710578275,0.9494862797083891
mstl_BiLSTM Multi,RE,0.21390757721214376,0.2693998205530139,1.3539549331718919,0.9335957761544827
prophet_Uni-LSTM CI,CI,1.9986346683548715,2.5571638992324917,0.34246009724414517,0.9196705969064372
prophet_Uni-LSTM RE,RE,0.2588766459611442,0.3305266558714264,1.6303363872166534,0.9000428005120679
prophet_Multi-LSTM,CI,1.9622564569658305,2.521056436047585,0.3362438739080537,0.9219231027581868
prophet_Multi-LSTM,RE,0.17893815357583404,0.23776380196199148,1.135231324711284,0.9482759438941206
prophet_BiLSTM CI,CI,1.9281517924504512,2.4774869318658466,0.3297316833123498,0.9245984705396926
prophet_BiLSTM RE,RE,0.20487680315371642,0.2656623553219993,1.2965436467095037,0.9354254872141645
prophet_BiLSTM Multi,CI,1.935095943048161,2.4795725699301916,0.33136387179905774,0.9244714656367552
prophet_BiLSTM Multi,RE,0.19174283117117075,0.24958254765796264,1.2153730891661914,0.9430059488583057
