Ensemble,Target,Horizon,MAE_at_horizon
Ensemble-Simple (all),CI,1,1.209096584683689
Ensemble-Simple (all),CI,2,3.034160293291345
Ensemble-Simple (all),CI,3,3.3477243157605643
Ensemble-Simple (all),CI,4,3.447931333869069
Ensemble-Simple (all),CI,5,3.730971649514579
Ensemble-Simple (all),CI,6,4.464631550343615
Ensemble-Simple (all),CI,7,4.167038215087433
Ensemble-Simple (all),CI,8,4.883893732670859
Ensemble-Simple (all),CI,9,5.285478286105331
Ensemble-Simple (all),CI,10,5.411499913748826
Ensemble-Simple (all),CI,11,6.677583841837346
Ensemble-Simple (all),CI,12,6.84614314601399
Ensemble-Simple (all),CI,13,6.664426340461613
Ensemble-Simple (all),CI,14,6.834595771742533
Ensemble-Simple (all),CI,15,7.30321202517924
Ensemble-Simple (all),CI,16,7.219229348741394
Ensemble-Simple (all),CI,17,6.888274775052809
Ensemble-Simple (all),CI,18,7.3509668396534344
Ensemble-Simple (all),CI,19,8.272381606499918
Ensemble-Simple (all),CI,20,7.420955330580975
Ensemble-Simple (all),CI,21,6.391032449119039
Ensemble-Simple (all),CI,22,6.222715673425682
Ensemble-Simple (all),CI,23,5.640704862744965
Ensemble-Simple (all),CI,24,6.51346519301379
Ensemble-Simple (all),RE,1,0.12731497247381024
Ensemble-Simple (all),RE,2,0.3567529318122108
Ensemble-Simple (all),RE,3,0.396034860262385
Ensemble-Simple (all),RE,4,0.4137365674734451
Ensemble-Simple (all),RE,5,0.4239477962187885
Ensemble-Simple (all),RE,6,0.4850071926250443
Ensemble-Simple (all),RE,7,0.4486518090569308
Ensemble-Simple (all),RE,8,0.514845321692982
Ensemble-Simple (all),RE,9,0.5282758822729675
Ensemble-Simple (all),RE,10,0.5422492074086546
Ensemble-Simple (all),RE,11,0.6933777287880288
Ensemble-Simple (all),RE,12,0.7123715423432091
Ensemble-Simple (all),RE,13,0.7179263332004601
Ensemble-Simple (all),RE,14,0.824845993826186
Ensemble-Simple (all),RE,15,0.8057364790128303
Ensemble-Simple (all),RE,16,0.8303988228215053
Ensemble-Simple (all),RE,17,0.8220828381775733
Ensemble-Simple (all),RE,18,0.7987925767942875
Ensemble-Simple (all),RE,19,0.9514012585164501
Ensemble-Simple (all),RE,20,0.8491067995711995
Ensemble-Simple (all),RE,21,0.7906256225627546
Ensemble-Simple (all),RE,22,0.8012415560625314
Ensemble-Simple (all),RE,23,0.833276095314869
Ensemble-Simple (all),RE,24,0.8350241819050779
Ensemble-Simple (mstl_multi_only),CI,1,1.315555930328668
Ensemble-Simple (mstl_multi_only),CI,2,3.3755377128068687
Ensemble-Simple (mstl_multi_only),CI,3,3.908295714477107
Ensemble-Simple (mstl_multi_only),CI,4,4.14602200452902
Ensemble-Simple (mstl_multi_only),CI,5,4.295642634642043
Ensemble-Simple (mstl_multi_only),CI,6,4.9841065989363695
Ensemble-Simple (mstl_multi_only),CI,7,4.789258990634854
Ensemble-Simple (mstl_multi_only),CI,8,6.0139852956568385
Ensemble-Simple (mstl_multi_only),CI,9,6.128703039598056
Ensemble-Simple (mstl_multi_only),CI,10,6.518278854935621
Ensemble-Simple (mstl_multi_only),CI,11,7.911600992800231
Ensemble-Simple (mstl_multi_only),CI,12,7.8590370053539935
Ensemble-Simple (mstl_multi_only),CI,13,7.878492236076756
Ensemble-Simple (mstl_multi_only),CI,14,7.711624310954502
Ensemble-Simple (mstl_multi_only),CI,15,8.077510456188799
Ensemble-Simple (mstl_multi_only),CI,16,8.20631549595301
Ensemble-Simple (mstl_multi_only),CI,17,8.463985539087195
Ensemble-Simple (mstl_multi_only),CI,18,8.679051606928358
Ensemble-Simple (mstl_multi_only),CI,19,9.933372534568248
Ensemble-Simple (mstl_multi_only),CI,20,9.357692062023702
Ensemble-Simple (mstl_multi_only),CI,21,8.952111354584144
Ensemble-Simple (mstl_multi_only),CI,22,9.262400837782284
Ensemble-Simple (mstl_multi_only),CI,23,9.217832797150344
Ensemble-Simple (mstl_multi_only),CI,24,9.60594657797583
Ensemble-Simple (mstl_multi_only),RE,1,0.18687184607395857
Ensemble-Simple (mstl_multi_only),RE,2,0.4502829197242002
Ensemble-Simple (mstl_multi_only),RE,3,0.5302174421632957
Ensemble-Simple (mstl_multi_only),RE,4,0.5921765908619784
Ensemble-Simple (mstl_multi_only),RE,5,0.640327230409826
Ensemble-Simple (mstl_multi_only),RE,6,0.7544235779254842
Ensemble-Simple (mstl_multi_only),RE,7,0.7989158543886208
Ensemble-Simple (mstl_multi_only),RE,8,0.905428693676901
Ensemble-Simple (mstl_multi_only),RE,9,0.8640100306281976
Ensemble-Simple (mstl_multi_only),RE,10,0.9419206071780016
Ensemble-Simple (mstl_multi_only),RE,11,1.1233505992255493
Ensemble-Simple (mstl_multi_only),RE,12,1.1596765609311404
Ensemble-Simple (mstl_multi_only),RE,13,1.1772002850666228
Ensemble-Simple (mstl_multi_only),RE,14,1.2407655872416583
Ensemble-Simple (mstl_multi_only),RE,15,1.251170978808711
Ensemble-Simple (mstl_multi_only),RE,16,1.273915326092796
Ensemble-Simple (mstl_multi_only),RE,17,1.3570403028444944
