Ensemble,Target,N_models,MAE,RMSE,MAPE (%),R2
Ensemble-Simple (all),CI,8,1.5371135322998764,2.03815066461992,0.26322810400340846,0.9489694815891117
Ensemble-Weighted (all),CI,8,1.5307656579358424,2.031716729189404,0.2621329362711536,0.949291154410106
Ensemble-Simple (mstl_only),CI,4,1.5001100561894272,2.0128872587695894,0.2566434360895676,0.950226714144478
Ensemble-Weighted (mstl_only),CI,4,1.5000336631848756,2.01281414117915,0.256629409736916,0.9502303300813525
Ensemble-Simple (prophet_only),CI,4,1.8029672170559017,2.3271313904058473,0.3088486541433055,0.93347280397909
Ensemble-Weighted (prophet_only),CI,4,1.802389028532075,2.3266533344535114,0.30873992550121754,0.9335001341552092
Ensemble-Simple (multi_only),CI,4,1.5956775910247858,2.1050101206165364,0.2733246132757628,0.9455665592593173
Ensemble-Weighted (multi_only),CI,4,1.5902395966128418,2.0991987813352306,0.2723887502358957,0.9458666951481611
Ensemble-Simple (mstl_multi_only),CI,2,1.5344922785475936,2.0479051534463704,0.2626183180233947,0.9484798536165367
Ensemble-Weighted (mstl_multi_only),CI,2,1.5339000932649616,2.047248925525456,0.2625161461979476,0.9485128664166084
Ensemble-Simple (prophet_multi_only),CI,2,1.8669776873119455,2.404796374296488,0.3198648183799421,0.928958188426924
Ensemble-Weighted (prophet_multi_only),CI,2,1.8669317381344028,2.4046167569394274,0.31985594033983034,0.9289688004405054
Ensemble-Simple (all),RE,8,0.16758402600714814,0.22380814840320315,1.0591415319901376,0.9541696800430876
Ensemble-Weighted (all),RE,8,0.16649665966545313,0.22267471129508332,1.0524121913459525,0.954632703847422
Ensemble-Simple (mstl_only),RE,4,0.16532435139823126,0.22266009770059872,1.047204872273014,0.9546386583405042
Ensemble-Weighted (mstl_only),RE,4,0.16534099140777261,0.22267807381209545,1.047302029745679,0.9546313336922212
Ensemble-Simple (prophet_only),RE,4,0.18368706270156943,0.2429235070006208,1.1598755542003305,0.9460066610383053
Ensemble-Weighted (prophet_only),RE,4,0.18163457617809348,0.24072286816395372,1.147152558570506,0.94698047906783
Ensemble-Simple (multi_only),RE,4,0.17318595875632586,0.22842351255580623,1.0959803579832486,0.9522599673376073
Ensemble-Weighted (multi_only),RE,4,0.1732053936170618,0.22845909088686225,1.0960987626596042,0.9522450945870372
Ensemble-Simple (mstl_multi_only),RE,2,0.1952189622061716,0.25210307989624015,1.2377096186550907,0.941848971082787
Ensemble-Weighted (mstl_multi_only),RE,2,0.19533934768455216,0.25221385892448617,1.2384557243162284,0.941797854453595
Ensemble-Simple (prophet_multi_only),RE,2,0.17101760573001112,0.22793009416660473,1.0828787154143988,0.9524659913870727
Ensemble-Weighted (prophet_multi_only),RE,2,0.17091562498778184,0.22783957691925366,1.0822414229450796,0.9525037379890005
