Ensemble,Target,Horizon,MAE_at_horizon
Ensemble-OptunaTuned (all),CI,1,1.2128700076905283
Ensemble-OptunaTuned (all),CI,2,3.072134228185796
Ensemble-OptunaTuned (all),CI,3,3.4051754360793063
Ensemble-OptunaTuned (all),CI,4,3.4761369034772804
Ensemble-OptunaTuned (all),CI,5,3.703301575592221
Ensemble-OptunaTuned (all),CI,6,4.4064708116315385
Ensemble-OptunaTuned (all),CI,7,4.112042274262077
Ensemble-OptunaTuned (all),CI,8,4.813053912087695
Ensemble-OptunaTuned (all),CI,9,5.206087006169693
Ensemble-OptunaTuned (all),CI,10,5.328760909754169
Ensemble-OptunaTuned (all),CI,11,6.580884575667487
Ensemble-OptunaTuned (all),CI,12,6.692386788881924
Ensemble-OptunaTuned (all),CI,13,6.545835927071034
Ensemble-OptunaTuned (all),CI,14,6.735507997937024
Ensemble-OptunaTuned (all),CI,15,7.133101888988818
Ensemble-OptunaTuned (all),CI,16,6.801937499257776
Ensemble-OptunaTuned (all),CI,17,6.752588199407211
Ensemble-OptunaTuned (all),CI,18,7.0040420758517214
Ensemble-OptunaTuned (all),CI,19,7.8090920070491885
Ensemble-OptunaTuned (all),CI,20,7.109708380867696
Ensemble-OptunaTuned (all),CI,21,5.906528578731393
Ensemble-OptunaTuned (all),CI,22,5.595074818456372
Ensemble-OptunaTuned (all),CI,23,5.104346600283857
Ensemble-OptunaTuned (all),CI,24,5.73473807867931
Ensemble-OptunaTuned (all),RE,1,0.12866517929748994
Ensemble-OptunaTuned (all),RE,2,0.33663726970938124
Ensemble-OptunaTuned (all),RE,3,0.3632962544983775
Ensemble-OptunaTuned (all),RE,4,0.3699554953830439
Ensemble-OptunaTuned (all),RE,5,0.39215155472720764
Ensemble-OptunaTuned (all),RE,6,0.42870258125359995
Ensemble-OptunaTuned (all),RE,7,0.3895913229360168
Ensemble-OptunaTuned (all),RE,8,0.450129121608247
Ensemble-OptunaTuned (all),RE,9,0.45992268801871206
Ensemble-OptunaTuned (all),RE,10,0.4596746317645168
Ensemble-OptunaTuned (all),RE,11,0.5636215104703104
Ensemble-OptunaTuned (all),RE,12,0.5644479634066583
Ensemble-OptunaTuned (all),RE,13,0.5771504929033189
Ensemble-OptunaTuned (all),RE,14,0.6624388931238616
Ensemble-OptunaTuned (all),RE,15,0.6693846590051136
Ensemble-OptunaTuned (all),RE,16,0.6699396873857079
Ensemble-OptunaTuned (all),RE,17,0.6277083747992286
Ensemble-OptunaTuned (all),RE,18,0.5856096041330233
Ensemble-OptunaTuned (all),RE,19,0.6996737609074202
Ensemble-OptunaTuned (all),RE,20,0.6010842687800658
Ensemble-OptunaTuned (all),RE,21,0.5472389406263009
Ensemble-OptunaTuned (all),RE,22,0.5402280676902059
Ensemble-OptunaTuned (all),RE,23,0.53461796117811
Ensemble-OptunaTuned (all),RE,24,0.5031231985288729
Ensemble-OptunaTuned (multi_only),CI,1,1.2538021925015925
Ensemble-OptunaTuned (multi_only),CI,2,3.1348684013097636
Ensemble-OptunaTuned (multi_only),CI,3,3.4604174859312753
Ensemble-OptunaTuned (multi_only),CI,4,3.644469053345679
Ensemble-OptunaTuned (multi_only),CI,5,3.954552301696631
Ensemble-OptunaTuned (multi_only),CI,6,4.7712793440762695
Ensemble-OptunaTuned (multi_only),CI,7,4.662492851405501
Ensemble-OptunaTuned (multi_only),CI,8,5.490111534035114
Ensemble-OptunaTuned (multi_only),CI,9,5.752412911753303
Ensemble-OptunaTuned (multi_only),CI,10,6.020268347307094
Ensemble-OptunaTuned (multi_only),CI,11,7.316660360063108
Ensemble-OptunaTuned (multi_only),CI,12,7.308099465872308
Ensemble-OptunaTuned (multi_only),CI,13,7.2539646828474735
Ensemble-OptunaTuned (multi_only),CI,14,7.389247956528988
Ensemble-OptunaTuned (multi_only),CI,15,7.81782774055376
Ensemble-OptunaTuned (multi_only),CI,16,7.8991388379449425
Ensemble-OptunaTuned (multi_only),CI,17,7.9040619125531295
Ensemble-OptunaTuned (multi_only),CI,18,8.104579074522455
Ensemble-OptunaTuned (multi_only),CI,19,8.9374863823685
Ensemble-OptunaTuned (multi_only),CI,20,8.03891232791365
Ensemble-OptunaTuned (multi_only),CI,21,6.937304677441814
Ensemble-OptunaTuned (multi_only),CI,22,6.9345364585560425
Ensemble-OptunaTuned (multi_only),CI,23,6.358178184834527
Ensemble-OptunaTuned (multi_only),CI,24,6.834762737800085
Ensemble-OptunaTuned (multi_only),RE,1,0.14191303058806193
Ensemble-OptunaTuned (multi_only),RE,2,0.3537411310022806
Ensemble-OptunaTuned (multi_only),RE,3,0.40615875246671024
Ensemble-OptunaTuned (multi_only),RE,4,0.4429840124735493
Ensemble-OptunaTuned (multi_only),RE,5,0.4527912498050922
Ensemble-OptunaTuned (multi_only),RE,6,0.5378858118508815
Ensemble-OptunaTuned (multi_only),RE,7,0.5134951206928672
Ensemble-OptunaTuned (multi_only),RE,8,0.6210849071697708
Ensemble-OptunaTuned (multi_only),RE,9,0.6506968010846618
Ensemble-OptunaTuned (multi_only),RE,10,0.6706192028389099
Ensemble-OptunaTuned (multi_only),RE,11,0.8484788364789917
Ensemble-OptunaTuned (multi_only),RE,12,0.8712904674889055
Ensemble-OptunaTuned (multi_only),RE,13,0.8784818827766636
Ensemble-OptunaTuned (multi_only),RE,14,0.9897394680963849
Ensemble-OptunaTuned (multi_only),RE,15,0.9639067313612447
Ensemble-OptunaTuned (multi_only),RE,16,0.9879309856975808
Ensemble-OptunaTuned (multi_only),RE,17,0.9575675318566174
Ensemble-OptunaTuned (multi_only),RE,18,0.9329134628019162
Ensemble-OptunaTuned (multi_only),RE,19,1.0771781775634508
Ensemble-OptunaTuned (multi_only),RE,20,0.9641316820640493
Ensemble-OptunaTuned (multi_only),RE,21,0.8949950518816036
Ensemble-OptunaTuned (multi_only),RE,22,0.8768595354266825
Ensemble-OptunaTuned (multi_only),RE,23,0.887152298202343
Ensemble-OptunaTuned (multi_only),RE,24,0.8641144913656117
