Target,Subset,Decomposition,Model,Weight
CI,all,mstl,Uni-LSTM CI,0.23006443306233773
CI,all,mstl,Multi-LSTM,0.03401338620626033
CI,all,mstl,BiLSTM CI,0.03478120825823182
CI,all,mstl,BiLSTM Multi,0.22237925338973663
CI,all,prophet,Uni-LSTM CI,0.017769296026742643
CI,all,prophet,Multi-LSTM,0.10175182096385492
CI,all,prophet,BiLSTM CI,0.20736767490524805
CI,all,prophet,BiLSTM Multi,0.15187292718758785
CI,multi_only,mstl,Multi-LSTM,0.0003626232732053319
CI,multi_only,mstl,BiLSTM Multi,0.5927902735557374
CI,multi_only,prophet,Multi-LSTM,0.12415990462997212
CI,multi_only,prophet,BiLSTM Multi,0.2826871985410851
RE,all,mstl,Uni-LSTM RE,0.013269199787231501
RE,all,mstl,Multi-LSTM,0.010985040955142151
RE,all,mstl,BiLSTM RE,0.20867297319677794
RE,all,mstl,BiLSTM Multi,0.12177644376039569
RE,all,prophet,Uni-LSTM RE,0.011779310056230993
RE,all,prophet,Multi-LSTM,0.23469151706342672
RE,all,prophet,BiLSTM RE,0.28708077764007783
RE,all,prophet,BiLSTM Multi,0.11174473754071718
RE,multi_only,mstl,Multi-LSTM,0.056969791902862985
RE,multi_only,mstl,BiLSTM Multi,0.3457348161426543
RE,multi_only,prophet,Multi-LSTM,0.33636899569512535
RE,multi_only,prophet,BiLSTM Multi,0.2609263962593575
