Decomposition,Model,Target,Horizon,MAE_at_horizon
mstl,BiLSTM CI,CI,1,1.2725332884479723
mstl,BiLSTM CI,CI,2,3.1916735809117167
mstl,BiLSTM CI,CI,3,3.6280512327630947
mstl,BiLSTM CI,CI,4,3.6951688082949943
mstl,BiLSTM CI,CI,5,3.696281936688596
mstl,BiLSTM CI,CI,6,4.059184565801393
mstl,BiLSTM CI,CI,7,3.735156392616651
mstl,BiLSTM CI,CI,8,3.8642792763916667
mstl,BiLSTM CI,CI,9,4.2594407594133115
mstl,BiLSTM CI,CI,10,4.270462139961645
mstl,BiLSTM CI,CI,11,4.292062099699892
mstl,BiLSTM CI,CI,12,4.293107278888636
mstl,BiLSTM CI,CI,13,3.9900859828313706
mstl,BiLSTM CI,CI,14,4.1543823603725105
mstl,BiLSTM CI,CI,15,4.5529770330825485
mstl,BiLSTM CI,CI,16,4.288478252119322
mstl,BiLSTM CI,CI,17,4.061592287336054
mstl,BiLSTM CI,CI,18,3.9433884548391904
mstl,BiLSTM CI,CI,19,3.9415986010953827
mstl,BiLSTM CI,CI,20,3.9278747164659764
mstl,BiLSTM CI,CI,21,4.061621265528557
mstl,BiLSTM CI,CI,22,4.047406305021703
mstl,BiLSTM CI,CI,23,3.9381615675818695
mstl,BiLSTM CI,CI,24,3.8353821263698955
mstl,BiLSTM Multi,CI,1,1.3245971918290207
mstl,BiLSTM Multi,CI,2,3.224142186258358
mstl,BiLSTM Multi,CI,3,3.6194172504513586
mstl,BiLSTM Multi,CI,4,3.754722450944271
mstl,BiLSTM Multi,CI,5,3.818238749383064
mstl,BiLSTM Multi,CI,6,4.3768987254635165
mstl,BiLSTM Multi,CI,7,4.122851416245312
mstl,BiLSTM Multi,CI,8,5.0109019003675686
mstl,BiLSTM Multi,CI,9,4.948602209515295
mstl,BiLSTM Multi,CI,10,5.185517132167937
mstl,BiLSTM Multi,CI,11,6.244648288484085
mstl,BiLSTM Multi,CI,12,6.025635711313166
mstl,BiLSTM Multi,CI,13,5.717502080604197
mstl,BiLSTM Multi,CI,14,5.472785460766322
mstl,BiLSTM Multi,CI,15,5.587392181103787
mstl,BiLSTM Multi,CI,16,5.373511358481953
mstl,BiLSTM Multi,CI,17,5.527425806875463
mstl,BiLSTM Multi,CI,18,5.622479837884074
mstl,BiLSTM Multi,CI,19,6.611444003037608
mstl,BiLSTM Multi,CI,20,5.782038314987131
mstl,BiLSTM Multi,CI,21,5.033416079877018
mstl,BiLSTM Multi,CI,22,5.099130087928181
mstl,BiLSTM Multi,CI,23,4.923542213403839
mstl,BiLSTM Multi,CI,24,4.973122270079267
mstl,BiLSTM Multi,RE,1,0.2153322565579171
mstl,BiLSTM Multi,RE,2,0.4792084756787814
mstl,BiLSTM Multi,RE,3,0.558185840803949
mstl,BiLSTM Multi,RE,4,0.6315140617606039
mstl,BiLSTM Multi,RE,5,0.6842463910343216
mstl,BiLSTM Multi,RE,6,0.7902427540786578
mstl,BiLSTM Multi,RE,7,0.8440947436075248
mstl,BiLSTM Multi,RE,8,0.9331909913711146
mstl,BiLSTM Multi,RE,9,0.8881793239902663
mstl,BiLSTM Multi,RE,10,0.9428711261823502
mstl,BiLSTM Multi,RE,11,1.1044463512557174
mstl,BiLSTM Multi,RE,12,1.1240272298992822
mstl,BiLSTM Multi,RE,13,1.1282598269067643
mstl,BiLSTM Multi,RE,14,1.1829232345510783
mstl,BiLSTM Multi,RE,15,1.1794676513192492
mstl,BiLSTM Multi,RE,16,1.1915038011727113
mstl,BiLSTM Multi,RE,17,1.2582475760731262
mstl,BiLSTM Multi,RE,18,1.208474792692043
mstl,BiLSTM Multi,RE,19,1.3786614097568402
mstl,BiLSTM Multi,RE,20,1.289600834054857
mstl,BiLSTM Multi,RE,21,1.2891046607200058
mstl,BiLSTM Multi,RE,22,1.3196663364107784
mstl,BiLSTM Multi,RE,23,1.3583963673005564
mstl,BiLSTM Multi,RE,24,1.3992015902799204
mstl,BiLSTM RE,RE,1,0.11975926603046162
mstl,BiLSTM RE,RE,2,0.3601197831513599
mstl,BiLSTM RE,RE,3,0.41149063149631915
mstl,BiLSTM RE,RE,4,0.4150438722295775
mstl,BiLSTM RE,RE,5,0.4636364409144674
mstl,BiLSTM RE,RE,6,0.4968324757635266
mstl,BiLSTM RE,RE,7,0.4967094710551953
mstl,BiLSTM RE,RE,8,0.5125560651622488
mstl,BiLSTM RE,RE,9,0.6454345083044083
mstl,BiLSTM RE,RE,10,0.6291783839111088
