Decomposition,Model,Target,Horizon,MAE_at_horizon
mstl,BiLSTM Multi,CI,1,1.08471589162849
mstl,BiLSTM Multi,CI,2,1.5061266147268395
mstl,BiLSTM Multi,CI,3,1.8855738441690948
mstl,BiLSTM Multi,CI,4,1.8518936953891592
mstl,BiLSTM Multi,CI,5,1.9646628811792595
mstl,BiLSTM Multi,CI,6,2.14575700972694
mstl,BiLSTM Multi,CI,7,3.384356014389266
mstl,BiLSTM Multi,CI,8,2.984107170050497
mstl,BiLSTM Multi,CI,9,3.1242490873297104
mstl,BiLSTM Multi,CI,10,3.2389835742027047
mstl,BiLSTM Multi,CI,11,3.0674194114191664
mstl,BiLSTM Multi,CI,12,3.1920299955108784
mstl,BiLSTM Multi,CI,13,3.2185763553838935
mstl,BiLSTM Multi,CI,14,3.9939361663747683
mstl,BiLSTM Multi,CI,15,4.455878114756775
mstl,BiLSTM Multi,CI,16,4.638099439472202
mstl,BiLSTM Multi,CI,17,4.676506062641163
mstl,BiLSTM Multi,CI,18,5.090848804374262
mstl,BiLSTM Multi,CI,19,4.686350975836473
mstl,BiLSTM Multi,CI,20,5.319362934016217
mstl,BiLSTM Multi,CI,21,5.403287277650456
mstl,BiLSTM Multi,CI,22,5.490221229285294
mstl,BiLSTM Multi,CI,23,6.147039934123046
mstl,BiLSTM Multi,CI,24,6.180804706226366
mstl,BiLSTM Multi,RE,1,0.1308762154933315
mstl,BiLSTM Multi,RE,2,0.16630184641672005
mstl,BiLSTM Multi,RE,3,0.15853462783682046
mstl,BiLSTM Multi,RE,4,0.1671144520221513
mstl,BiLSTM Multi,RE,5,0.1993810870599274
mstl,BiLSTM Multi,RE,6,0.24838408377390123
mstl,BiLSTM Multi,RE,7,0.32670769456373305
mstl,BiLSTM Multi,RE,8,0.2955966437944402
mstl,BiLSTM Multi,RE,9,0.23818695529606582
mstl,BiLSTM Multi,RE,10,0.24575831467330858
mstl,BiLSTM Multi,RE,11,0.24839795381289945
mstl,BiLSTM Multi,RE,12,0.27556363213525964
mstl,BiLSTM Multi,RE,13,0.30348330020909947
mstl,BiLSTM Multi,RE,14,0.43682044388986
mstl,BiLSTM Multi,RE,15,0.4799504759128191
mstl,BiLSTM Multi,RE,16,0.49571185266959217
mstl,BiLSTM Multi,RE,17,0.4956014926394052
mstl,BiLSTM Multi,RE,18,0.5442650494926143
mstl,BiLSTM Multi,RE,19,0.517834398298697
mstl,BiLSTM Multi,RE,20,0.5485892974730632
mstl,BiLSTM Multi,RE,21,0.5663595093319772
mstl,BiLSTM Multi,RE,22,0.5627203075418025
mstl,BiLSTM Multi,RE,23,0.5856905866768882
mstl,BiLSTM Multi,RE,24,0.586044647851113
mstl,Multi-LSTM,CI,1,1.621266035302874
mstl,Multi-LSTM,CI,2,2.443802878709064
mstl,Multi-LSTM,CI,3,3.387900908276912
mstl,Multi-LSTM,CI,4,4.153930300410495
mstl,Multi-LSTM,CI,5,4.9221541781223905
mstl,Multi-LSTM,CI,6,5.6222656587407505
mstl,Multi-LSTM,CI,7,7.549575433702039
mstl,Multi-LSTM,CI,8,7.4617949625638
mstl,Multi-LSTM,CI,9,7.1469582821823066
mstl,Multi-LSTM,CI,10,7.583577772026733
mstl,Multi-LSTM,CI,11,7.633996100230815
mstl,Multi-LSTM,CI,12,8.013881037297915
mstl,Multi-LSTM,CI,13,8.464025678689858
mstl,Multi-LSTM,CI,14,9.287513915418174
mstl,Multi-LSTM,CI,15,9.821880438054386
mstl,Multi-LSTM,CI,16,10.53237065799769
mstl,Multi-LSTM,CI,17,11.359696759198728
mstl,Multi-LSTM,CI,18,12.526063502839074
mstl,Multi-LSTM,CI,19,13.102332142550914
mstl,Multi-LSTM,CI,20,14.860542627137566
mstl,Multi-LSTM,CI,21,15.574028740683143
mstl,Multi-LSTM,CI,22,16.761021384000824
mstl,Multi-LSTM,CI,23,19.00926416220652
mstl,Multi-LSTM,CI,24,19.912950953512713
mstl,Multi-LSTM,RE,1,0.13542131828949844
mstl,Multi-LSTM,RE,2,0.1997676566849777
mstl,Multi-LSTM,RE,3,0.19825604336729521
mstl,Multi-LSTM,RE,4,0.21453544550521378
mstl,Multi-LSTM,RE,5,0.33692125872731976
mstl,Multi-LSTM,RE,6,0.3382889866982406
mstl,Multi-LSTM,RE,7,0.5381450195214393
mstl,Multi-LSTM,RE,8,0.48166483566276347
mstl,Multi-LSTM,RE,9,0.4461254814454888
mstl,Multi-LSTM,RE,10,0.4894824370368049
mstl,Multi-LSTM,RE,11,0.5619035520912411
mstl,Multi-LSTM,RE,12,0.617592772840911
mstl,Multi-LSTM,RE,13,0.7201701269044931
mstl,Multi-LSTM,RE,14,0.8648102360485217
mstl,Multi-LSTM,RE,15,0.9388744701701145
mstl,Multi-LSTM,RE,16,1.0418996085003878
mstl,Multi-LSTM,RE,17,1.1367573616767408
mstl,Multi-LSTM,RE,18,1.2793269906370677
mstl,Multi-LSTM,RE,19,1.4150228168778247
mstl,Multi-LSTM,RE,20,1.5621057600286854
mstl,Multi-LSTM,RE,21,1.6145627668407971
mstl,Multi-LSTM,RE,22,1.8002099006777919
mstl,Multi-LSTM,RE,23,2.086526460328201
mstl,Multi-LSTM,RE,24,2.2448694798178805
prophet,BiLSTM Multi,CI,1,1.2817224313999702
prophet,BiLSTM Multi,CI,2,1.683859028970702
prophet,BiLSTM Multi,CI,3,2.17972762017058
prophet,BiLSTM Multi,CI,4,2.8612412809172896
prophet,BiLSTM Multi,CI,5,1.9779121332298848
prophet,BiLSTM Multi,CI,6,2.810698674033938
prophet,BiLSTM Multi,CI,7,4.645495421510387
prophet,BiLSTM Multi,CI,8,3.7903592158243646
prophet,BiLSTM Multi,CI,9,3.7075601141442633
prophet,BiLSTM Multi,CI,10,3.777212945213056
prophet,BiLSTM Multi,CI,11,3.242990602236
prophet,BiLSTM Multi,CI,12,5.338178071741146
prophet,BiLSTM Multi,CI,13,3.505167171868936
prophet,BiLSTM Multi,CI,14,5.3962996836877934
prophet,BiLSTM Multi,CI,15,5.0549790538565675
prophet,BiLSTM Multi,CI,16,4.633926752808164
prophet,BiLSTM Multi,CI,17,4.9107537507413825
prophet,BiLSTM Multi,CI,18,6.388637968660213
prophet,BiLSTM Multi,CI,19,5.7344956780963585
prophet,BiLSTM Multi,CI,20,4.961756845989901
prophet,BiLSTM Multi,CI,21,6.375923566681374
prophet,BiLSTM Multi,CI,22,6.834784422124781
prophet,BiLSTM Multi,CI,23,6.900641603533778
prophet,BiLSTM Multi,CI,24,7.476740127538172
prophet,BiLSTM Multi,RE,1,0.1816618845817362
prophet,BiLSTM Multi,RE,2,0.2891741298288739
prophet,BiLSTM Multi,RE,3,0.20559815634594128
prophet,BiLSTM Multi,RE,4,0.2883482789219326
prophet,BiLSTM Multi,RE,5,0.2611515201678708
prophet,BiLSTM Multi,RE,6,0.28464892055461705
prophet,BiLSTM Multi,RE,7,0.5061229298825943
prophet,BiLSTM Multi,RE,8,0.4160336503498963
prophet,BiLSTM Multi,RE,9,0.274802173015991
prophet,BiLSTM Multi,RE,10,0.2718981724157996
prophet,BiLSTM Multi,RE,11,0.36908496064655905
prophet,BiLSTM Multi,RE,12,0.4123615779361272
prophet,BiLSTM Multi,RE,13,0.3767071075825856
prophet,BiLSTM Multi,RE,14,0.5268713845596481
prophet,BiLSTM Multi,RE,15,0.4857867468486709
prophet,BiLSTM Multi,RE,16,0.48726210392511904
prophet,BiLSTM Multi,RE,17,0.49348361995034706
prophet,BiLSTM Multi,RE,18,0.6415618312712705
prophet,BiLSTM Multi,RE,19,0.6104514779784048
prophet,BiLSTM Multi,RE,20,0.5334668300949001
prophet,BiLSTM Multi,RE,21,0.5925549869690265
prophet,BiLSTM Multi,RE,22,0.6433869730185231
prophet,BiLSTM Multi,RE,23,0.6609039019529049
prophet,BiLSTM Multi,RE,24,0.7200037542399036
prophet,Multi-LSTM,CI,1,1.2995936640227148
prophet,Multi-LSTM,CI,2,2.4696932377512244
prophet,Multi-LSTM,CI,3,3.0580615440881345
prophet,Multi-LSTM,CI,4,4.410827771986386
prophet,Multi-LSTM,CI,5,2.515646227497391
prophet,Multi-LSTM,CI,6,4.5998516726047045
prophet,Multi-LSTM,CI,7,6.5954516146353015
prophet,Multi-LSTM,CI,8,5.512217616969872
prophet,Multi-LSTM,CI,9,4.975490027446889
prophet,Multi-LSTM,CI,10,5.170383303703399
prophet,Multi-LSTM,CI,11,4.298743803832312
prophet,Multi-LSTM,CI,12,7.012955179329136
prophet,Multi-LSTM,CI,13,5.173138868231648
prophet,Multi-LSTM,CI,14,6.496574206466574
prophet,Multi-LSTM,CI,15,6.002588262183958
prophet,Multi-LSTM,CI,16,5.711572659080146
prophet,Multi-LSTM,CI,17,6.3847356693228425
prophet,Multi-LSTM,CI,18,8.434263515556017
prophet,Multi-LSTM,CI,19,7.997683221339255
prophet,Multi-LSTM,CI,20,7.154832875223729
prophet,Multi-LSTM,CI,21,8.95771232672111
prophet,Multi-LSTM,CI,22,9.80427327902329
prophet,Multi-LSTM,CI,23,10.202629827135048
prophet,Multi-LSTM,CI,24,10.94975836152083
prophet,Multi-LSTM,RE,1,0.18514515294363976
prophet,Multi-LSTM,RE,2,0.22201122293687425
prophet,Multi-LSTM,RE,3,0.22995826065910893
prophet,Multi-LSTM,RE,4,0.18872006717806308
prophet,Multi-LSTM,RE,5,0.2732093943585523
prophet,Multi-LSTM,RE,6,0.277986605135134
prophet,Multi-LSTM,RE,7,0.37585601969733184
prophet,Multi-LSTM,RE,8,0.3232457810644944
prophet,Multi-LSTM,RE,9,0.28563748557388857
prophet,Multi-LSTM,RE,10,0.27290624888942083
prophet,Multi-LSTM,RE,11,0.3051879121767646
prophet,Multi-LSTM,RE,12,0.3456286557049218
prophet,Multi-LSTM,RE,13,0.4265315906013049
prophet,Multi-LSTM,RE,14,0.4286009781409932
prophet,Multi-LSTM,RE,15,0.4253470602619157
prophet,Multi-LSTM,RE,16,0.44173479491133116
prophet,Multi-LSTM,RE,17,0.4774723355079364
prophet,Multi-LSTM,RE,18,0.5132855993131373
prophet,Multi-LSTM,RE,19,0.47920266099352365
prophet,Multi-LSTM,RE,20,0.5145824418367553
prophet,Multi-LSTM,RE,21,0.50667628500256
prophet,Multi-LSTM,RE,22,0.5130339981354467
prophet,Multi-LSTM,RE,23,0.5258210021890659
